0x0743:  f0 | af=fb00 bc=fb20 de=ff56 hl=0b8f sp=dff3 pc=0743 | cnt=154 lcdc=91 ly=92
0x0745:  fe | af=9200 bc=fb20 de=ff56 hl=0b8f sp=dff3 pc=0745 | cnt=148 lcdc=91 ly=92
0x0747:  20 | af=9240 bc=fb20 de=ff56 hl=0b8f sp=dff3 pc=0747 | cnt=144 lcdc=91 ly=92
0x073e:  03 | af=9240 bc=fb20 de=ff56 hl=0b8f sp=dff3 pc=073e | cnt=138 lcdc=91 ly=92
0x073f:  78 | af=9240 bc=fb21 de=ff56 hl=0b8f sp=dff3 pc=073f | cnt=134 lcdc=91 ly=92
0x0740:  b1 | af=fb40 bc=fb21 de=ff56 hl=0b8f sp=dff3 pc=0740 | cnt=132 lcdc=91 ly=92
0x0741:  28 | af=fb00 bc=fb21 de=ff56 hl=0b8f sp=dff3 pc=0741 | cnt=130 lcdc=91 ly=92
0x0743:  f0 | af=fb00 bc=fb21 de=ff56 hl=0b8f sp=dff3 pc=0743 | cnt=126 lcdc=91 ly=92
0x0745:  fe | af=9200 bc=fb21 de=ff56 hl=0b8f sp=dff3 pc=0745 | cnt=120 lcdc=91 ly=92
0x0747:  20 | af=9240 bc=fb21 de=ff56 hl=0b8f sp=dff3 pc=0747 | cnt=116 lcdc=91 ly=92
0x073e:  03 | af=9240 bc=fb21 de=ff56 hl=0b8f sp=dff3 pc=073e | cnt=110 lcdc=91 ly=92
0x073f:  78 | af=9240 bc=fb22 de=ff56 hl=0b8f sp=dff3 pc=073f | cnt=106 lcdc=91 ly=92
0x0740:  b1 | af=fb40 bc=fb22 de=ff56 hl=0b8f sp=dff3 pc=0740 | cnt=104 lcdc=91 ly=92
0x0741:  28 | af=fb00 bc=fb22 de=ff56 hl=0b8f sp=dff3 pc=0741 | cnt=102 lcdc=91 ly=92
0x0743:  f0 | af=fb00 bc=fb22 de=ff56 hl=0b8f sp=dff3 pc=0743 | cnt=98 lcdc=91 ly=92
0x0745:  fe | af=9200 bc=fb22 de=ff56 hl=0b8f sp=dff3 pc=0745 | cnt=92 lcdc=91 ly=92
